Event,BCR P-astro,External P-astro,BCR FAP,Catalogue,gps,GPS
GW170104,0.99,$1.00^{|};1.00^{ddagger}$,0.0669397266690768,GWTC-1,1167559934.6,1167559934.6
GW170121,0.94,$1.00^{dagger};1.00^{ast}$,0.2785489917963709,IAS-1,1169069152.565,1169069152.565
GW170202,0.67,$0.13^{dagger};0.68^{ast}$,0.1356848002818497,IAS-1,1170079033.715,1170079033.715
GWC170302,0.87,,0.4607318572346687,IAS-1 Sub-threshold,1172487815.4822,1172487815.4822
GW170304,0.94,$0.70^{dagger};0.99^{ast}$,0.1919355084238039,IAS-1,1172680689.356,1172680689.356
GW170402,0.79,$0.68^{ast}$,0.9948967499118976,IAS-2,1175205126.565,1175205126.565
GW170403,0.73,$0.03^{dagger};0.56^{ast}$,0.1146251018400794,IAS-1,1175295987.221,1175295987.221
GWC170412,0.89,,0.053242085382988,IMBHc,1176047817.0,1176047817.0
GW170425,0.83,$0.21^{dagger};0.77^{ast}$,0.7762897790326823,IAS-1,1177134830.178,1177134830.178
GW170608,0.99,$0.92^{|};1.00^{ddagger}$,0.0513274706268404,GWTC-1,1180922492.5,1180922492.5
GW170727,0.95,$0.99^{dagger};0.98^{ast}$,0.0408753480494127,IAS-1,1185152686.019,1185152686.019
GW170729,0.98,$0.98^{|};0.52^{ddagger}$,0.0591990309773849,GWTC-1,1185389805.3,1185389805.3
GW170809,0.98,$0.99^{|};1.00^{ddagger}$,0.0100264860450995,GWTC-1,1186302517.748,1186302517.748
GW170814,1.0,$1.00^{|};1.00^{ddagger}$,0.0008220150230918,GWTC-1,1186741859.5332,1186741859.5332
GW170817A,0.91,$0.86^{ast}$,0.6449518348680361,IAS-2,1186974182.716,1186974182.716
