,GPS,catalog.shortName,chi_eff,chi_eff_lower,chi_eff_unit,chi_eff_upper,chirp_mass,chirp_mass_lower,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_unit,chirp_mass_source_upper,chirp_mass_unit,chirp_mass_upper,commonName,far,far_lower,far_unit,far_upper,final_mass_source,final_mass_source_lower,final_mass_source_unit,final_mass_source_upper,jsonurl,luminosity_distance,luminosity_distance_lower,luminosity_distance_unit,luminosity_distance_upper,mass_1_source,mass_1_source_lower,mass_1_source_unit,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_unit,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_unit,network_matched_filter_snr_upper,redshift,redshift_lower,redshift_unit,redshift_upper,reference,total_mass_source,total_mass_source_lower,total_mass_source_unit,total_mass_source_upper,version
0,1128348574.5,GWTC-1-marginal,,,,,5.12,,,,,,M_sun,,151008,10.17,,yr^-1,,,,,,https://www.gw-openscience.org/eventapi/json/GWTC-1-marginal/151008/v1,,,,,,,,,,,,,8.8,,,,,,,,https://doi.org/10.7935/82H3-HH23,,,,,1
1,1128666662.2,GWTC-1-marginal,,,,,2.01,,,,,,M_sun,,151012.2,8.56,,yr^-1,,,,,,https://www.gw-openscience.org/eventapi/json/GWTC-1-marginal/151012.2/v1,,,,,,,,,,,,,9.6,,,,,,,,https://doi.org/10.7935/82H3-HH23,,,,,1
2,1131748925.7,GWTC-1-marginal,,,,,1.24,,,,,,M_sun,,151116,4.77,,yr^-1,,,,,,https://www.gw-openscience.org/eventapi/json/GWTC-1-marginal/151116/v1,,,,,,,,,,,,,9.0,,,,,,,,https://doi.org/10.7935/82H3-HH23,,,,,1
3,1164686041.9,GWTC-1-marginal,,,,,1.54,,,,,,M_sun,,161202,6.0,,yr^-1,,,,,,https://www.gw-openscience.org/eventapi/json/GWTC-1-marginal/161202/v1,,,,,,,,,,,,,10.5,,,,,,,,https://doi.org/10.7935/82H3-HH23,,,,,1
4,1165994201.4,GWTC-1-marginal,,,,,7.86,,,,,,M_sun,,161217,10.12,,yr^-1,,,,,,https://www.gw-openscience.org/eventapi/json/GWTC-1-marginal/161217/v1,,,,,,,,,,,,,10.7,,,,,,,,https://doi.org/10.7935/82H3-HH23,,,,,1
5,1170585583.8,GWTC-1-marginal,,,,,7.39,,,,,,M_sun,,170208,11.18,,yr^-1,,,,,,https://www.gw-openscience.org/eventapi/json/GWTC-1-marginal/170208/v1,,,,,,,,,,,,,10.0,,,,,,,,https://doi.org/10.7935/82H3-HH23,,,,,1
6,1171548267.0,GWTC-1-marginal,,,,,1.53,,,,,,M_sun,,170219,6.26,,yr^-1,,,,,,https://www.gw-openscience.org/eventapi/json/GWTC-1-marginal/170219/v1,,,,,,,,,,,,,9.6,,,,,,,,https://doi.org/10.7935/82H3-HH23,,,,,1
7,1175425510.7,GWTC-1-marginal,,,,,1.44,,,,,,M_sun,,170405,4.55,,yr^-1,,,,,,https://www.gw-openscience.org/eventapi/json/GWTC-1-marginal/170405/v1,,,,,,,,,,,,,9.3,,,,,,,,https://doi.org/10.7935/82H3-HH23,,,,,1
8,1176047817.0,GWTC-1-marginal,,,,,4.36,,,,,,M_sun,,170412,8.22,,yr^-1,,,,,,https://www.gw-openscience.org/eventapi/json/GWTC-1-marginal/170412/v1,,,,,,,,,,,,,9.7,,,,,,,,https://doi.org/10.7935/82H3-HH23,,,,,1
9,1176984663.0,GWTC-1-marginal,,,,,1.17,,,,,,M_sun,,170423,6.47,,yr^-1,,,,,,https://www.gw-openscience.org/eventapi/json/GWTC-1-marginal/170423/v1,,,,,,,,,,,,,8.9,,,,,,,,https://doi.org/10.7935/82H3-HH23,,,,,1
10,1181677658.8,GWTC-1-marginal,,,,,2.75,,,,,,M_sun,,170616,1.94,,yr^-1,,,,,,https://www.gw-openscience.org/eventapi/json/GWTC-1-marginal/170616/v1,,,,,,,,,,,,,9.1,,,,,,,,https://doi.org/10.7935/82H3-HH23,,,,,1
11,1182874645.8,GWTC-1-marginal,,,,,0.9,,,,,,M_sun,,170630,10.46,,yr^-1,,,,,,https://www.gw-openscience.org/eventapi/json/GWTC-1-marginal/170630/v1,,,,,,,,,,,,,9.7,,,,,,,,https://doi.org/10.7935/82H3-HH23,,,,,1
12,1183279534.3,GWTC-1-marginal,,,,,3.4,,,,,,M_sun,,170705,10.97,,yr^-1,,,,,,https://www.gw-openscience.org/eventapi/json/GWTC-1-marginal/170705/v1,,,,,,,,,,,,,9.3,,,,,,,,https://doi.org/10.7935/82H3-HH23,,,,,1
13,1184625889.8,GWTC-1-marginal,,,,,5.96,,,,,,M_sun,,170720,10.75,,yr^-1,,,,,,https://www.gw-openscience.org/eventapi/json/GWTC-1-marginal/170720/v1,,,,,,,,,,,,,13.0,,,,,,,,https://doi.org/10.7935/82H3-HH23,,,,,1
14,815043278.0,Initial_LIGO_Virgo,,,,,,,,,,,,,GRB051103,,,,,,,,,https://www.gw-openscience.org/eventapi/json/Initial_LIGO_Virgo/GRB051103/v1,,,,,,,,,,,,,,,,,,,,,https://www.ligo.org/scientists/GRB051103/index.php,,,,,1
15,1126259462.4,O1_O2-Preliminary,,,,,,,,,,,,,GW150914,,,,,,,,,https://www.gw-openscience.org/eventapi/json/O1_O2-Preliminary/GW150914/v1,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.7935/K5MW2F23,,,,,1
16,1126259462.4,O1_O2-Preliminary,,,,,,,,,,,,,GW150914,,,,,,,,,https://www.gw-openscience.org/eventapi/json/O1_O2-Preliminary/GW150914/v2,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.7935/K5MW2F23,,,,,2
17,1126259462.4,GWTC-1-confident,-0.01,-0.13,,0.12,,,28.6,-1.5,M_sun,1.7,,,GW150914,1e-07,,yr^-1,,63.1,-3.0,M_sun,3.4,https://www.gw-openscience.org/eventapi/json/GWTC-1-confident/GW150914/v3,440.0,-170.0,Mpc,150.0,35.6,-3.1,M_sun,4.7,30.6,-4.4,M_sun,3.0,24.4,,,,0.09,-0.03,,0.03,https://doi.org/10.7935/82H3-HH23,,,,,3
18,1128678900.4,O1_O2-Preliminary,,,,,,,,,,,,,GW151012,,,,,,,,,https://www.gw-openscience.org/eventapi/json/O1_O2-Preliminary/GW151012/v1,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.7935/K5CC0XMZ,,,,,1
19,1128678900.4,O1_O2-Preliminary,,,,,,,,,,,,,GW151012,,,,,,,,,https://www.gw-openscience.org/eventapi/json/O1_O2-Preliminary/GW151012/v2,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.7935/K5CC0XMZ,,,,,2
20,1128678900.4,GWTC-1-confident,0.05,-0.2,,0.31,,,15.2,-1.2,M_sun,2.1,,,GW151012,0.00792,,yr^-1,,35.6,-3.8,M_sun,10.8,https://www.gw-openscience.org/eventapi/json/GWTC-1-confident/GW151012/v3,1080.0,-490.0,Mpc,550.0,23.2,-5.5,M_sun,14.9,13.6,-4.8,M_sun,4.1,10.0,,,,0.21,-0.09,,0.09,https://doi.org/10.7935/82H3-HH23,,,,,3
21,1135136350.6,O1_O2-Preliminary,,,,,,,,,,,,,GW151226,,,,,,,,,https://www.gw-openscience.org/eventapi/json/O1_O2-Preliminary/GW151226/v1,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.7935/K5H41PBP,,,,,1
22,1135136350.6,GWTC-1-confident,0.18,-0.12,,0.2,,,8.9,-0.3,M_sun,0.3,,,GW151226,1e-07,,yr^-1,,20.5,-1.5,M_sun,6.4,https://www.gw-openscience.org/eventapi/json/GWTC-1-confident/GW151226/v2,450.0,-190.0,Mpc,180.0,13.7,-3.2,M_sun,8.8,7.7,-2.5,M_sun,2.2,13.1,,,,0.09,-0.04,,0.04,https://doi.org/10.7935/82H3-HH23,,,,,2
