Unnamed: 0,ifar,stat,snr,timeslide_value,H1_snr,H1_start_time,H1_trigger_time,H1_template_duration,H1_trigger_id,L1_snr,L1_start_time,L1_trigger_time,L1_template_duration,L1_trigger_id,mass_1,mass_2,mass_total,mass_chirp,mass_ratio,spin1z,spin2z,f_lower,template_id
918,0.0998604952999804,8.552466,8.888674265035604,-1317786.4,6.112956,1176964798.6547852,1176964800.6547852,0.24849528,188714666,6.4529295,1178282585.0527346,1178282587.0527346,0.24849528,89664313,459.39523,18.15449,477.5497,65.59920802527407,0.039518237,0.9865695,0.9865695,25.7,331193
4206,8.534994836038592e-05,7.384317,8.312276180054655,-1298000.0,5.710848,1176977576.3779294,1176977578.3779294,0.36422342,175552160,6.03988,1178275576.3867188,1178275578.3867188,0.36422342,83414671,74.33443,7.613359,81.947784,18.576005806775697,0.10242036,-0.67240924,-0.67240924,24.1,277137
6217,0.0747828329998232,8.516762,10.429362270967482,-1288140.8,5.663562000000001,1176990674.6728516,1176990676.6728516,0.15083277,262909856,8.757606,1178278815.4711914,1178278817.4711914,0.15083277,124917834,486.54617,7.7453375,494.2915,40.448462099440455,0.015919019,0.7817814000000001,0.7817814000000001,21.4,362541
7479,0.0660874608227875,8.501382000000001,9.21067246096013,-1283467.7000000002,7.168272999999999,1176959648.4575195,1176959650.4575195,0.4510909000000001,65891130,5.783800599999999,1178243116.149414,1178243118.149414,0.4510909000000001,31318542,238.43066,11.24355,249.67421,37.799373948860286,0.04715648,0.9828371,0.9828371,25.9,362510
9572,0.0874210669546683,8.536118,10.129198038487026,-1276604.1,6.101049400000001,1176967820.5351562,1176967822.5351562,0.15037511,308010715,8.085657000000001,1178244424.6362305,1178244426.6362305,0.15037511,146340609,235.68575,6.720198599999999,242.40594,27.7281313556842,0.028513387,0.39950642,0.39950642,23.2,192752
9727,0.1767308882186274,8.621958,21.4214174536258,-1276091.2000000002,15.093901999999998,1176971019.5512695,1176971021.5512695,0.1583701,89123350,15.20037,1178247110.756836,1178247112.756836,0.1583701,42361669,304.6701,4.065491000000001,308.7356,22.79546099919196,0.013343913,0.50524706,0.50524706,22.1,373395
9850,0.2042480543784068,8.639469,8.911482067090231,-1275846.8,6.0100718,1177005106.147461,1177005108.147461,0.39230362,222408904,6.5797834,1178280952.946289,1178280954.946289,0.39230362,105671441,311.41183,11.992229,323.40405,43.79171273063821,0.038509227,0.99497014,0.99497014,26.0,387530
10682,0.0770828970751309,8.520508,10.612663888749344,-1273295.2000000002,8.72309,1176971345.865723,1176971347.865723,0.28032878,105385984,6.0445294,1178244641.0576172,1178244643.0576172,0.28032878,50086942,44.961548,18.016947,62.97849300000001,24.281472204283155,0.40071902,-0.9242848,-0.9242848,25.7,130102
10832,0.0831136782600104,8.529855,8.894166425304471,-1272899.2000000002,6.3015223,1177015437.394043,1177015439.394043,0.42702708,330731543,6.2767040000000005,1178288336.5922852,1178288338.5922852,0.42702708,157134082,89.733925,17.138865,106.87279,32.09148371791006,0.19099648,0.9977591999999998,0.9977591999999998,28.2,373276
12837,0.0001093085164966,7.467305,7.943254111225723,-1267500.0,5.686319,1177010479.1240234,1177010481.1240234,0.3304425,135665895,5.5462656,1178277979.1313474,1178277981.1313474,0.3304425,64472588,127.43933,1.8255436,129.26488,9.947668765918596,0.014324806,-0.4833587,-0.4833587,21.7,301160
14453,0.0785440261102586,8.522828,8.868180784801709,-1263325.2000000002,5.826385500000001,1176979036.6567383,1176979038.6567383,0.24065861,281253795,6.685646,1178242361.857422,1178242363.857422,0.24065861,133632071,231.44296,22.64491,254.08788,56.318615390539854,0.0978423,0.9486266,0.9486266,25.9,205193
17716,0.1736754279095692,8.619852,8.905862746915044,-1255709.6,6.311235400000001,1177033841.8378904,1177033843.8378904,0.21968074,138419511,6.283526,1178289551.4375,1178289553.4375,0.21968074,65780025,69.192444,28.231861,97.4243,37.7350946855373,0.40801942,0.042858757,0.042858757,26.5,139324
18279,0.114206725216763,8.568941,9.044331667755722,-1254601.0,6.346512000000001,1177035552.1323242,1177035554.1323242,0.40814316,15521188,6.443735,1178290153.1323242,1178290155.1323242,0.40814316,7374232,94.43739,17.407501,111.844894,33.09824924726929,0.18432848,0.96952194,0.96952194,28.0,331182
19447,0.0689394358898252,8.506632000000002,9.209931772845474,-1252494.4,7.123993400000001,1177000462.9760742,1177000464.9760742,0.28553575,217295030,5.837085,1178252957.3793943,1178252959.3793943,0.28553575,103239783,248.89285,2.569096,251.46194,15.972805696813676,0.0103220969999999,0.41225183,0.41225183,21.7,301947
20754,9.607133344440842e-05,7.425582400000001,8.495876282655704,-1250000.0,6.077426,1176994225.853027,1176994227.853027,0.4385098,11048498,5.9367337,1178244225.8623047,1178244227.8623047,0.4385098,5245425,83.87708,16.813398,100.69048,30.83057390141488,0.20045282,0.9952804,0.9952804,28.2,331269
20845,0.0891692846179174,8.538561,8.99598298659856,-1249838.8,6.8790526,1176959648.4667966,1176959650.4667966,0.33118793,52352983,5.797098,1178209487.2670898,1178209489.2670898,0.33118793,24888364,238.34883,16.969755,255.31859,48.16334878836954,0.07119714,0.9966603,0.9966603,26.6,331230
21974,0.0835794154990423,8.530546000000001,8.951834122459799,-1247757.5,5.855136,1177030785.740723,1177030787.740723,0.43711528,183167379,6.771463400000001,1178278543.239746,1178278545.239746,0.43711528,87033267,489.0744,9.783036,498.85745,46.59226959440804,0.020003166,0.99519295,0.99519295,25.0,387443
22919,0.0716275957307086,8.511383,10.793262984101744,-1246010.6,5.6315317,1176959296.8588867,1176959298.8588867,0.38217586,192853342,9.207626,1178205307.4589846,1178205309.4589846,0.38217586,91628836,134.91153,1.4313626,136.3429,8.80141995648826,0.0106096389999999,-0.4448103,-0.4448103,21.1,300887
22984,0.000316215630928,7.7262,7.939733823748482,-1246000.0,5.6171937000000005,1176977576.383789,1176977578.383789,0.31613,322929190,5.611284,1178223576.3793943,1178223578.3793943,0.31613,153432128,38.03625,19.90876,57.94501,23.710567065870663,0.5234154000000001,-0.99297285,-0.99297285,25.9,129991
23658,4.065688191449917e-05,6.9814906,8.121030347534544,-1245000.0,5.7868724,1176978409.9033206,1176978411.9033206,0.21806392,168404015,5.6976523,1178223409.9072266,1178223411.9072266,0.21806392,80019582,72.956535,47.357826,120.31436,50.93426957015294,0.64912385,0.9964778,0.9964778,28.5,139329
24869,0.1261348207261363,8.581086,9.21477898973362,-1243392.0,7.266282,1177000763.4042966,1177000765.4042966,0.33157343,217854820,5.6668596,1178244155.40625,1178244157.40625,0.33157343,103505628,126.97825,18.04151,145.01976000000002,38.34563101110278,0.14208347,0.9716521,0.9716521,27.3,331023
25420,1.915399233014083e-05,5.656854,9.12289435763652,-1242500.0,7.119068,1176983325.9067383,1176983327.9067383,0.2896747,83541447,5.7049165,1178225825.9208984,1178225827.9208984,0.2896747,39707980,66.62703,8.275209,74.90224,18.61910095336629,0.12420198,-0.9963915,-0.9963915,24.2,178364
26070,0.1071858565301108,8.561186,9.131407142050453,-1241554.1,6.879321000000001,1176979671.352539,1176979673.352539,0.42319316,219580325,6.004793,1178221225.453125,1178221227.453125,0.42319316,104324324,142.003,13.521826,155.52483,34.01259567738212,0.09522211,0.99476165,0.99476165,27.6,373633
26423,0.1328061446487782,8.587352000000001,10.452279981224,-1241111.4,8.72309,1176971345.865723,1176971347.865723,0.28032878,105385984,5.758286,1178212457.2705078,1178212459.2705078,0.28032878,50087170,44.961548,18.016947,62.97849300000001,24.281472204283155,0.40071902,-0.9242848,-0.9242848,25.7,130102
27669,0.0019911198749796,8.031533999999999,8.207378624561215,-1239500.0,6.0134544000000005,1177008739.1020508,1177008741.1020508,0.33374465,162273921,5.585645,1178248239.0961914,1178248241.0961914,0.33374465,77104762,159.81448,19.024494,178.83897,43.57778148577008,0.119041115,0.99589336,0.99589336,27.6,330811
27907,0.0737120364350241,8.514973,8.666569650747768,-1239053.6,6.141743,1177007385.1347654,1177007387.1347654,0.36745614,126836810,6.114607299999999,1178246438.7368164,1178246440.7368164,0.36745614,60279317,224.35912,13.543172,237.90228,41.1451587463147,0.060363814,0.9682131,0.9682131,25.8,205205
