Unnamed: 0,fap,ifar,stat,snr,timeslide_value,H1_snr,H1_start_time,H1_trigger_time,H1_template_duration,H1_trigger_id,L1_snr,L1_start_time,L1_trigger_time,L1_template_duration,L1_trigger_id,mass_1,mass_2,mass_total,mass_chirp,mass_ratio,spin1z,spin2z,f_lower,template_id,injection_mass_1,injection_mass_2,injection_geocent_time,injection_chi_1,injection_chi_2,injection_luminosity_distance,injection_theta_jn,injection_psi,injection_phase,injection_ra,injection_dec
3,1.6282851e-07,119518.48,14.629041,25.217287305515555,0.0,17.352145999999998,1176961634.244629,1176961636.244629,0.21209432,2938444,18.29794,1176961634.2416992,1176961636.2416992,0.21209432,1739343,80.45451,6.467479,86.92199000000001,17.456024334424686,0.08038678,-0.9979954,-0.9979954,23.8,178349,81.0251693725586,18.04050064086914,1176961636.2235825,0.8741161227226257,0.2560558915138245,352.15020751953125,0.7386677861213684,5.522779941558838,4.757805824279785,6.198465824127197,-0.9371197819709778
5,0.0018545235999999,10.4840765,9.097134,10.06205271700878,0.0,5.7874126,1176963220.3271484,1176963222.3271484,0.22325423,3153229,8.231085,1176963220.3242188,1176963222.3242188,0.22325423,1867838,58.981403,13.675294,72.6567,23.536177576421306,0.23185772,-0.9711684000000002,-0.9711684000000002,25.1,392261,20.399940490722656,54.98801040649414,1176963222.3322284,0.1146448031067848,0.9463186860084534,533.013671875,2.281208038330078,6.007445812225343,0.0952727273106575,5.1937408447265625,0.595946729183197
8,1.6282851e-07,119518.48,31.220224,57.68097937608428,0.0,39.474464000000005,1176964619.7172852,1176964621.7172852,0.27606782,540478,42.057842,1176964619.7167966,1176964621.7167966,0.27606782,321838,48.824013,33.106705,81.93072,34.86906513618522,0.6780824000000001,0.762825,0.762825,27.1,137683,33.66761016845703,42.6398811340332,1176964621.7260587,0.3808659017086029,0.121000200510025,300.02069091796875,0.5773776173591614,0.9732940793037416,4.197279930114746,4.563130855560303,1.0329899787902832
9,1.6282851e-07,119518.48,25.321533,49.53764988751756,0.0,33.612213,1176964729.5126953,1176964731.5126953,0.40144977,3105123,36.38953,1176964729.5166016,1176964731.5166016,0.40144977,1838988,67.43477,10.272425,77.70719,21.19541177996757,0.15233128,-0.48333645,-0.48333645,24.8,178437,81.63382720947266,11.094019889831545,1176964731.5280848,0.0606262609362602,0.5398836731910706,97.13723754882812,1.1685880422592163,5.964344024658202,1.2799869775772097,3.023139953613281,0.5167341232299805
17,0.0049503944,3.921467,8.984772,9.61540329189923,0.0,5.940446,1176970039.0595706,1176970041.0595706,0.25751165,660004,7.5608916,1176970039.059082,1176970041.059082,0.25751165,391094,63.226902,25.255524,88.48241999999999,34.086590604163625,0.3994427,0.09305124,0.09305124,26.4,131914,49.71522903442383,49.38151931762695,1176970041.0736089,0.4316858947277069,0.6100708246231079,1368.7060546875,1.5019429922103882,1.4435429573059082,5.837540149688722,4.759481906890869,1.0672149658203125
18,0.9752111,0.0052634906,8.169161,8.185619241165876,0.0,5.586032,1176970535.057129,1176970537.057129,0.4130729999999999,3249181,5.983361,1176970535.057129,1176970537.057129,0.4130729999999999,1924946,48.66901,19.60384,68.27285,26.357644098211,0.40279922,0.42603123,0.42603123,26.4,132092,19.485509872436523,53.47602844238281,1176970537.0721154,0.1799616068601608,0.1909791976213455,2996.737060546875,0.514500617980957,5.040664196014403,0.6986458897590637,3.96205997467041,0.6025955080986023
20,4.884855e-07,39839.49,10.193986,13.73560214112232,0.0,7.1616800000000005,1176971532.2963867,1176971534.2963867,0.3530038,806865,11.720798,1176971532.291504,1176971534.291504,0.3530038,477315,52.58728000000001,18.497164,71.08444,26.450665117051507,0.35174218,0.00562266,0.00562266,26.1,132733,58.42654037475586,39.369178771972656,1176971534.3064766,0.6370856165885925,0.0396182090044021,1690.531005859375,2.342242956161499,1.3590290546417236,2.608638048171997,4.437702178955078,0.1664343029260635
22,1.6282851e-07,119518.48,15.668323,23.35656638595879,0.0,16.994936,1176971833.715332,1176971835.715332,0.36600092,79537,16.021901999999997,1176971833.7192383,1176971835.7192383,0.36600092,46773,43.633156,18.561682,62.19484,24.339379411516727,0.42540315,-0.5924149000000001,-0.5924149000000001,25.9,129963,13.961339950561523,53.95185852050781,1176971835.7108154,0.9875833988189696,0.2270161956548691,85.97821807861328,1.3309550285339355,1.641268014907837,3.7377541065216064,2.8548090457916264,-0.5126811265945435
24,1.6282851e-07,119518.48,19.416231,27.05256718074368,0.0,18.511717,1176972836.1435547,1176972838.1435547,0.36600092,79164,19.727081,1176972836.1450195,1176972838.1450195,0.36600092,46767,43.633156,18.561682,62.19484,24.339379411516727,0.42540315,-0.5924149000000001,-0.5924149000000001,25.9,129963,42.92744064331055,19.48262023925781,1176972838.1567664,0.8153311014175415,0.5664241909980774,276.87078857421875,0.9653785228729248,2.0184659957885738,4.783804893493652,5.384046077728272,1.286134958267212
29,0.48177755,0.02960523,8.403313,8.419618517411513,0.0,5.9659014,1176974037.7163086,1176974039.7163086,0.28112334,2807076,5.9412117,1176974037.7158206,1176974039.7158206,0.28112334,1662746,44.210617,32.163776,76.37439,32.745121909380565,0.7275125,0.7821429,0.7821429,26.9,149402,56.01968002319336,26.1767692565918,1176974039.727325,0.4235751926898956,0.2730242013931274,1434.4150390625,2.243037939071656,5.4702348709106445,2.410079002380371,5.163043975830078,0.937856674194336
