,unfiltered_trigger_idx,fap,ifar,stat,snr,timeslide_value,H1_snr,H1_start_time,H1_trigger_time,H1_template_duration,H1_trigger_id,L1_snr,L1_start_time,L1_trigger_time,L1_template_duration,L1_trigger_id,mass_1,mass_2,mass_total,mass_chirp,mass_ratio,spin1z,spin2z,f_lower,template_id,injection_mass_1,injection_mass_2,injection_geocent_time,injection_chi_1,injection_chi_2,injection_luminosity_distance,injection_theta_jn,injection_psi,injection_phase,injection_ra,injection_dec,trigger_idx,timeslide_val,H1_timeslid_time,L1_timeslid_time,H1_timeslid_time_end,L1_timeslid_time_end,avg_timeslid_time,H1_timslide_val,L1_timslide_val,gps_time,data_idx,lnZs,lnBF,lnBCR,lnZg_H1,lnZn_H1,lnBF_H1,lnZg_L1,lnZn_L1,lnBF_L1,walltime_H1L1,walltime_H1,walltime_L1,nsamples_H1L1,nsamples_H1,nsamples_L1,h1l1_result_file,h1_result_file,l1_result_file,trigger_time,far,saved_gps_start_time,alpha,beta,ln_stat,ln_far
0,1.0,1.9929686e-07,79780.18,12.913292,17.726436823748195,0.0,11.262644,1186643216.9711914,1186643218.9711914,0.33323953,3367636.0,13.68866,1186643216.9765625,1186643218.9765625,0.33323953,1700021.0,52.762814,11.385765,64.148575,20.21979235393117,0.21579146,-0.9947695,-0.9947695,24.9,372990.0,53.21031188964844,31.17609024047852,1186643218.9793816,0.6263406872749329,0.4496796131134033,718.0800170898438,2.669248104095459,5.657313823699951,5.317667007446289,4.5784220695495605,0.01418984029442072,0.0,0.0,1186643216.9711914,1186643216.9765625,1186643220.9711914,1186643220.9765625,1186643216.973877,-0.002685546875,0.002685546875,1186643216.9739,0.0,-8474.743791948717,232.3122802410508,19.94852494200313,-4368.960264671317,-4467.563690631923,98.60342596060491,-4121.1268820334135,-4239.492381557843,118.36549952442965,4.667613311666666,1.8948918694444443,2.1120141888888893,23199.0,15097.0,15889.0,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data0_1186643218-973877_analysis_H1L1_dynesty_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data0_1186643218-973877_analysis_H1_dynesty_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data0_1186643218-973877_analysis_L1_dynesty_result.json,1186643218.973877,1.2534441511663674e-05,1186643216.973877,1.0,1.0,2.558257168479598,-11.287030381661415
1,2.0,7.971871999999998e-07,19945.045,10.364801,11.664016020724294,0.0,6.166937,1186643627.3168945,1186643629.3168945,0.31613,3875288.0,9.900412,1186643627.3120115,1186643629.3120115,0.31613,1957244.0,38.03625,19.90876,57.94501,23.710567065870663,0.5234154000000001,-0.99297285,-0.99297285,25.9,129991.0,38.60029983520508,31.990760803222656,1186643629.3280795,0.6118906736373901,0.4050484895706177,731.0374755859375,1.571560978889465,4.531329154968262,4.028429031372069,5.861052989959718,0.06302701681852341,1.0,0.0,1186643627.3168945,1186643627.3120115,1186643631.3168945,1186643631.3120115,1186643627.3144534,0.00244140625,-0.0024416446685791016,1186643627.3145,1.0,-8515.37172557334,157.43599031208942,14.430911063325766,-4234.192044517646,-4248.785024870926,14.592980353280835,-4291.0100066211135,-4424.022691014505,133.01268439339128,3.8387259563888887,2.3121092436111117,3.758236808611111,20533.0,11843.0,15965.0,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data1_1186643629-314453_analysis_H1L1_dynesty_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data1_1186643629-314453_analysis_H1_dynesty_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data1_1186643629-314453_analysis_L1_dynesty_result.json,1186643629.314453,5.01377660466547e-05,1186643627.3144534,1.0,1.0,2.3384155464752636,-9.900736020541524
2,6.0,1.9929686e-07,79780.18,14.17942,21.133115955690112,0.0,13.137738,1186646531.944336,1186646533.944336,0.26200452,1422232.0,16.5532,1186646531.9433596,1186646533.9433596,0.26200452,718470.0,46.108643,27.862976,73.97162,31.00793742561757,0.60428965,-0.7718079999999999,-0.7718079999999999,26.4,130481.0,25.44297981262207,60.4710807800293,1186646533.9187677,0.8027518987655641,0.2898373901844025,963.4293823242188,0.6797776222229004,3.0642290115356445,3.985651016235352,2.6570301055908203,-0.7727000713348389,2.0,0.0,1186646531.944336,1186646531.9433596,1186646535.944336,1186646535.9433596,1186646531.9438474,0.00048828125,-0.00048804283142089844,1186646531.9438,2.0,-8682.225077799952,298.8368190985729,19.05041532517862,-4293.8194456063775,-4381.340150841908,87.52070523553085,-4402.850877332765,-4599.721746056617,196.87086872385223,4.494431394444446,2.457070895833333,2.6041716913888893,22959.0,13982.0,16554.0,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data2_1186646533-943848_analysis_H1L1_dynesty_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data2_1186646533-943848_analysis_H1_dynesty_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data2_1186646533-943848_analysis_L1_dynesty_result.json,1186646533.9438481,1.2534441511663674e-05,1186646531.9438474,1.0,1.0,2.6517916175876133,-11.287030381661415
3,13.0,3.985937e-07,39890.09,11.957307,14.44175025856098,0.0,6.4909754,1186647927.0024414,1186647929.0024414,0.34020433,3937526.0,12.900829,1186647927.0039062,1186647929.0039062,0.34020433,1988289.0,32.56361,23.35417,55.91777800000001,23.941326201526998,0.71718615,-0.88616705,-0.88616705,26.1,130256.0,26.530990600585927,34.49654006958008,1186647928.991481,0.0007669876213185487,0.9147598147392272,361.6307067871094,1.1556750535964966,4.785950183868408,3.0795071125030518,2.489797115325928,0.3341067135334015,4.0,0.0,1186647927.0024414,1186647927.0039062,1186647931.0024414,1186647931.0039062,1186647927.0031738,-0.000732421875,0.000732421875,1186647927.0032,3.0,-8508.271488394132,147.32386263551416,11.904591679758596,-4123.1546245871,-4131.901646457899,8.747021870798562,-4393.367626730447,-4523.693704571746,130.32607784129868,5.9836973800000015,1.342016233611111,3.2474107497222224,22929.0,13050.0,17394.0,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data3_1186647929-003174_analysis_H1L1_dynesty_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data3_1186647929-003174_analysis_H1_dynesty_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data3_1186647929-003174_analysis_L1_dynesty_result.json,1186647929.003174,2.506888302332735e-05,1186647927.0031738,1.0,1.0,2.48134255594446,-10.59388320110147
4,15.0,1.9929686e-07,79780.18,19.399841,31.773013358043873,0.0,19.198153,1186648831.7670898,1186648833.7670898,0.33323953,3367617.0,25.317095,1186648831.763672,1186648833.763672,0.33323953,1700068.0,52.762814,11.385765,64.148575,20.21979235393117,0.21579146,-0.9947695,-0.9947695,24.9,372990.0,59.94548034667969,19.880420684814453,1186648833.7603085,0.4877488017082214,0.42629799246788025,179.14430236816406,0.8881211876869202,3.050671100616455,0.8288683295249939,1.907264947891236,0.3505798876285553,5.0,0.0,1186648831.7670898,1186648831.763672,1186648835.7670898,1186648835.763672,1186648831.7653806,0.001708984375,-0.0017087459564208984,1186648831.7654,4.0,-8774.124100582907,1324.055571759256,26.063096479669184,-4402.4073162038985,-4825.0266036799485,422.6192874760509,-4393.174710672688,-5273.153068662214,879.9783579895256,8.115518977222223,3.9582840091666665,3.498168554166667,27939.0,18898.0,20428.0,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data4_1186648833-765381_analysis_H1L1_dynesty_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data4_1186648833-765381_analysis_H1_dynesty_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data4_1186648833-765381_analysis_L1_dynesty_result.json,1186648833.765381,1.2534441511663674e-05,1186648831.7653806,1.0,1.0,2.9652648701594075,-11.287030381661415
5,16.0,0.023967713,0.6554079,8.666716000000001,10.165359127177231,0.0,6.8857045,1186648932.5966794,1186648934.5966794,0.29816392,3172500.0,7.4780746,1186648932.599121,1186648934.599121,0.29816392,1601420.0,74.356346,6.2953453,80.65169,16.629525684227467,0.08466453,-0.97804624,-0.97804624,23.7,178301.0,19.607929229736328,72.9684829711914,1186648934.6151404,0.6537498235702515,0.7172520160675049,735.4177856445312,1.7982079982757568,4.528623104095459,2.703502893447876,0.3614861071109772,1.1595890522003174,6.0,0.0,1186648932.5966794,1186648932.599121,1186648936.5966794,1186648936.599121,1186648932.5979006,-0.0012209415435791016,0.001220703125,1186648932.5979,5.0,-8836.571928401914,136.0295950527943,20.42834820403368,-4356.496437688278,-4378.357566635082,21.861128946803547,-4495.898671936388,-4594.243956819626,98.34528488323757,5.51205443111111,2.5536790269444443,5.241108150833334,23049.0,15131.0,18163.0,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data5_1186648934-5979_analysis_H1L1_dynesty_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data5_1186648934-5979_analysis_H1_dynesty_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data5_1186648934-5979_analysis_L1_dynesty_result.json,1186648934.5979,1.5257673885224758,1186648932.5979006,1.0,1.0,2.1594899416448636,0.42249748908240875
6,18.0,1.9929686e-07,79780.18,23.429039000000003,38.478360124653506,0.0,26.289755,1186650719.525879,1186650721.525879,0.3203833,305988.0,28.09685,1186650719.5322266,1186650721.5322266,0.3203833,155574.0,36.003372,33.69675,69.70012,30.31880039451001,0.9359332,0.1221779,0.1221779,26.7,138006.0,42.53733825683594,30.967449188232425,1186650721.531805,0.5326173901557922,0.3576680123806,232.3876037597656,0.8622984290122986,4.583099842071533,3.5912420749664307,5.064558029174805,0.06334295868873596,7.0,0.0,1186650719.525879,1186650719.5322266,1186650723.525879,1186650723.5322266,1186650719.5290527,-0.003173828125,0.003173828125,1186650719.5291,6.0,-8347.33238583099,1051.391446211037,15.827438843205528,-4163.7070555849705,-4660.2462091623165,496.53915357734695,-4194.847598903236,-4738.47762287971,543.6300239764741,10.473464778333334,3.885150418333333,4.887296328333333,27055.0,15777.0,17628.0,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data6_1186650721-529053_analysis_H1L1_dynesty_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data6_1186650721-529053_analysis_H1_dynesty_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data6_1186650721-529053_analysis_L1_dynesty_result.json,1186650721.529053,1.2534441511663674e-05,1186650719.5290527,1.0,1.0,3.1539762358868138,-11.287030381661415
7,21.0,1.9929686e-07,79780.18,20.158327,27.56571314368413,0.0,15.616546,1186654220.2475586,1186654222.2475586,0.413073,4008103.0,22.715458,1186654220.244629,1186654222.244629,0.413073,2024162.0,48.66901,19.60384,68.27285,26.357644098211,0.40279922,0.42603123,0.42603123,26.4,132092.0,30.090599060058594,43.46049118041992,1186654222.2229984,0.8157219290733337,0.17372269928455353,412.8121032714844,1.1995929479599,0.3394451141357422,2.5376040935516357,2.906153917312622,-0.5101938247680664,8.0,0.0,1186654220.2475586,1186654220.244629,1186654224.2475586,1186654224.244629,1186654220.2460938,0.00146484375,-0.00146484375,1186654220.2461,7.0,-8637.825135688101,533.0197701455818,17.853582257012018,-4380.4118010513175,-4607.6773994260775,227.26559837476,-4270.661746707805,-4563.1675064076035,292.50575969979764,10.251643747777775,4.483516035,4.565309156111111,24576.0,15126.0,17076.0,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data7_1186654222-246094_analysis_H1L1_dynesty_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data7_1186654222-246094_analysis_H1_dynesty_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data7_1186654222-246094_analysis_L1_dynesty_result.json,1186654222.246094,1.2534441511663674e-05,1186654220.2460938,1.0,1.0,3.003617453648519,-11.287030381661415
8,23.0,1.9929686e-07,79780.18,22.547226,37.8714913568068,0.0,23.697966,1186655338.2231445,1186655340.2231445,0.34468815,1212311.0,29.540756,1186655338.2270508,1186655340.2270508,0.34468815,610684.0,45.974983,26.99901,72.97399,30.457063571647872,0.5872544,0.35813573,0.35813573,26.8,134655.0,29.37537956237793,40.83927917480469,1186655340.2382188,0.9183031916618348,0.10996659845113754,264.12899780273443,1.2613600492477417,5.736814022064209,4.543642997741699,5.911975860595702,0.6036049127578735,9.0,0.0,1186655338.2231445,1186655338.2270508,1186655342.2231445,1186655342.2270508,1186655338.2250974,-0.001953125,0.001953125,1186655338.2251,8.0,-8710.392850046566,1136.3569438064571,22.6783952869082,-4379.495642079906,-4828.988351540247,449.4927094603409,-4348.9704330675795,-5017.761442312776,668.7910092451966,11.752026932222224,3.1615880444444437,3.7030633577777774,26075.0,16582.0,18716.0,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data8_1186655340-225098_analysis_H1L1_dynesty_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data8_1186655340-225098_analysis_H1_dynesty_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data8_1186655340-225098_analysis_L1_dynesty_result.json,1186655340.2250981,1.2534441511663674e-05,1186655338.2250974,1.0,1.0,3.1156120428605933,-11.287030381661415
9,33.0,1.9929686e-07,79780.18,16.472267000000002,22.404649445332364,0.0,11.335754,1186660439.5688474,1186660441.5688474,0.35241923,2720513.0,19.325346,1186660439.5644536,1186660441.5644536,0.35241923,1373271.0,58.741325,23.293974,82.0353,31.543671576685963,0.39655173,0.5341706,0.5341706,26.9,147553.0,46.25513076782226,34.12015151977539,1186660441.5766695,0.8259820938110352,0.3882234990596771,570.6995239257812,1.884554982185364,1.2539089918136597,2.448930025100708,0.5744671225547789,-0.15769299864768982,10.0,0.0,1186660439.5688474,1186660439.5644536,1186660443.5688474,1186660443.5644536,1186660439.5666506,0.0021970272064208984,-0.002196788787841797,1186660439.5667,9.0,-8647.215557806943,216.2123180576564,16.188135198797678,-4174.13997268794,-4210.45169824596,36.311725558020036,-4484.658550131814,-4652.976177618639,168.31762748682468,7.991992935000002,1.242434665,3.682117070555556,21695.0,12183.0,16588.0,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data9_1186660441-56665_analysis_H1L1_dynesty_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data9_1186660441-56665_analysis_H1_dynesty_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data9_1186660441-56665_analysis_L1_dynesty_result.json,1186660441.56665,1.2534441511663674e-05,1186660439.5666506,1.0,1.0,2.8016781789190337,-11.287030381661415
