,unfiltered_trigger_idx,fap,ifar,stat,snr,timeslide_value,H1_snr,H1_start_time,H1_trigger_time,H1_template_duration,H1_trigger_id,L1_snr,L1_start_time,L1_trigger_time,L1_template_duration,L1_trigger_id,mass_1,mass_2,mass_total,mass_chirp,mass_ratio,spin1z,spin2z,f_lower,template_id,injection_mass_1,injection_mass_2,injection_geocent_time,injection_chi_1,injection_chi_2,injection_luminosity_distance,injection_theta_jn,injection_psi,injection_phase,injection_ra,injection_dec,trigger_idx,timeslide_val,H1_timeslid_time,L1_timeslid_time,H1_timeslid_time_end,L1_timeslid_time_end,avg_timeslid_time,H1_timslide_val,L1_timslide_val,gps_time,data_idx,lnZs,lnBF,lnBCR,lnZg_H1,lnZn_H1,lnBF_H1,lnZg_L1,lnZn_L1,lnBF_L1,walltime_H1L1,walltime_H1,walltime_L1,nsamples_H1L1,nsamples_H1,nsamples_L1,h1l1_result_file,h1_result_file,l1_result_file,trigger_time,far,saved_gps_start_time,alpha,beta,ln_stat,ln_far
0,1.0,1.9929686e-07,79780.18,12.913292,17.726436823748195,0.0,11.262644,1186643216.9711914,1186643218.9711914,0.33323953,3367636.0,13.68866,1186643216.9765625,1186643218.9765625,0.33323953,1700021.0,52.762814,11.385765,64.148575,20.21979235393117,0.21579146,-0.9947695,-0.9947695,24.9,372990.0,53.21031188964844,31.17609024047852,1186643218.9793816,0.6263406872749329,0.4496796131134033,718.0800170898438,2.669248104095459,5.657313823699951,5.317667007446289,4.5784220695495605,0.0141898402944207,0.0,0.0,1186643216.9711914,1186643216.9765625,1186643220.9711914,1186643220.9765625,1186643216.973877,-0.002685546875,0.002685546875,1186643216.9739,0.0,-178888.73492442037,152.42120916530257,19.247264884383185,-89536.26279083303,-89598.25251091507,61.98972008204146,-89367.11422828572,-89442.90362267062,75.78939438490488,4.667613311666666,1.8948918694444443,2.112014188888889,38.0,299.0,78.0,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data0_1186643218-973877_analysis_H1L1_dynesty_studentT_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data0_1186643218-973877_analysis_H1_dynesty_studentT_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data0_1186643218-973877_analysis_L1_dynesty_studentT_result.json,1186643218.973877,1.2534441511663674e-05,1186643216.973877,1.0,1.0,2.558257168479598,-11.287030381661415
1,2.0,7.971871999999999e-07,19945.045,10.364801,11.664016020724294,0.0,6.166937,1186643627.3168943,1186643629.3168943,0.31613,3875288.0,9.900412,1186643627.3120117,1186643629.3120117,0.31613,1957244.0,38.03625,19.90876,57.94501,23.710567065870663,0.5234154000000001,-0.99297285,-0.99297285,25.9,129991.0,38.60029983520508,31.990760803222656,1186643629.3280797,0.6118906736373901,0.4050484895706177,731.0374755859375,1.571560978889465,4.531329154968262,4.028429031372069,5.861052989959718,0.0630270168185234,1.0,0.0,1186643627.3168943,1186643627.3120117,1186643631.3168943,1186643631.3120117,1186643627.3144531,0.00244140625,-0.0024416446685791,1186643627.3145,1.0,-178916.29406694733,98.75537978226204,11.594105724681867,-89441.57631404113,-89447.14007305141,5.563759010285139,-89485.37891819167,-89567.90937367818,82.53045548651426,3.8387259563888887,2.3121092436111117,3.758236808611111,24.0,176.0,163.0,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data1_1186643629-314453_analysis_H1L1_dynesty_studentT_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data1_1186643629-314453_analysis_H1_dynesty_studentT_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data1_1186643629-314453_analysis_L1_dynesty_studentT_result.json,1186643629.314453,5.01377660466547e-05,1186643627.3144531,1.0,1.0,2.3384155464752636,-9.900736020541524
2,6.0,1.9929686e-07,79780.18,14.17942,21.133115955690112,0.0,13.137738,1186646531.944336,1186646533.944336,0.26200452,1422232.0,16.5532,1186646531.9433596,1186646533.9433596,0.26200452,718470.0,46.108643,27.862976,73.97162,31.00793742561757,0.60428965,-0.7718079999999999,-0.7718079999999999,26.4,130481.0,25.44297981262207,60.4710807800293,1186646533.9187677,0.8027518987655641,0.2898373901844025,963.4293823242188,0.6797776222229004,3.0642290115356445,3.985651016235352,2.6570301055908203,-0.7727000713348389,2.0,0.0,1186646531.944336,1186646531.9433596,1186646535.944336,1186646535.9433596,1186646531.9438477,0.00048828125,-0.0004880428314208,1186646531.9438,2.0,-179026.75398471148,197.20246181439143,18.8538863240974,-89485.23510285807,-89539.91997744105,54.6848745829775,-89555.7675979915,-89684.0364690848,128.26887109329982,4.494431394444445,2.457070895833333,2.604171691388889,78.0,16.0,139.0,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data2_1186646533-943848_analysis_H1L1_dynesty_studentT_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data2_1186646533-943848_analysis_H1_dynesty_studentT_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data2_1186646533-943848_analysis_L1_dynesty_studentT_result.json,1186646533.943848,1.2534441511663674e-05,1186646531.9438477,1.0,1.0,2.6517916175876133,-11.287030381661415
3,13.0,3.985937e-07,39890.09,11.957307,14.44175025856098,0.0,6.4909754,1186647927.0024414,1186647929.0024414,0.34020433,3937526.0,12.900829,1186647927.0039062,1186647929.0039062,0.34020433,1988289.0,32.56361,23.35417,55.917778000000006,23.941326201527,0.71718615,-0.88616705,-0.88616705,26.1,130256.0,26.53099060058593,34.49654006958008,1186647928.991481,0.0007669876213185,0.9147598147392272,361.6307067871094,1.1556750535964966,4.785950183868408,3.079507112503052,2.489797115325928,0.3341067135334015,4.0,0.0,1186647927.0024414,1186647927.0039062,1186647931.0024414,1186647931.0039062,1186647927.0031738,-0.000732421875,0.000732421875,1186647927.0032,3.0,-178912.84454989477,91.98369248287054,5.343110249348683,-89362.41383913111,-89363.97353175055,1.5596926194411935,-89558.81967424485,-89640.85471062709,82.03503638223629,5.983697380000001,1.342016233611111,3.2474107497222224,203.0,11.0,322.0,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data3_1186647929-003174_analysis_H1L1_dynesty_studentT_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data3_1186647929-003174_analysis_H1_dynesty_studentT_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data3_1186647929-003174_analysis_L1_dynesty_studentT_result.json,1186647929.003174,2.506888302332735e-05,1186647927.0031738,1.0,1.0,2.48134255594446,-10.59388320110147
4,15.0,1.9929686e-07,79780.18,19.399841,31.77301335804387,0.0,19.198153,1186648831.7670898,1186648833.7670898,0.33323953,3367617.0,25.317095,1186648831.763672,1186648833.763672,0.33323953,1700068.0,52.762814,11.385765,64.148575,20.21979235393117,0.21579146,-0.9947695,-0.9947695,24.9,372990.0,59.94548034667969,19.880420684814453,1186648833.7603085,0.4877488017082214,0.4262979924678802,179.14430236816406,0.8881211876869202,3.050671100616455,0.8288683295249939,1.907264947891236,0.3505798876285553,5.0,0.0,1186648831.7670898,1186648831.763672,1186648835.7670898,1186648835.763672,1186648831.7653809,0.001708984375,-0.0017087459564208,1186648831.7654,4.0,-176871.2899587431,3079.340680471447,690.9008092976874,-89561.26728240783,-89837.67908889291,276.41180648507725,-87996.31831544693,-90112.95155032158,2116.633234874651,8.115518977222223,3.9582840091666665,3.498168554166667,2.0,58.0,1.0,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data4_1186648833-765381_analysis_H1L1_dynesty_studentT_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data4_1186648833-765381_analysis_H1_dynesty_studentT_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data4_1186648833-765381_analysis_L1_dynesty_studentT_result.json,1186648833.765381,1.2534441511663674e-05,1186648831.7653809,1.0,1.0,2.9652648701594075,-11.287030381661415
5,16.0,0.0239677129999999,0.6554079,8.666716000000001,10.16535912717723,0.0,6.8857045,1186648932.5966794,1186648934.5966794,0.29816392,3172500.0,7.4780746,1186648932.599121,1186648934.599121,0.29816392,1601420.0,74.356346,6.2953453,80.65169,16.629525684227467,0.08466453,-0.97804624,-0.97804624,23.7,178301.0,19.607929229736328,72.9684829711914,1186648934.6151404,0.6537498235702515,0.7172520160675049,735.4177856445312,1.7982079982757568,4.528623104095459,2.703502893447876,0.3614861071109772,1.1595890522003174,6.0,0.0,1186648932.5966794,1186648932.599121,1186648936.5966794,1186648936.599121,1186648932.5979004,-0.0012209415435791,0.001220703125,1186648932.5979,5.0,-179140.80028248776,83.96496591367759,19.09925241145538,-89531.47813415382,-89540.76341834973,9.285284195910208,-89624.47255960741,-89684.00183005168,59.52927044426906,5.51205443111111,2.5536790269444443,5.241108150833334,186.0,77.0,151.0,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data5_1186648934-5979_analysis_H1L1_dynesty_studentT_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data5_1186648934-5979_analysis_H1_dynesty_studentT_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data5_1186648934-5979_analysis_L1_dynesty_studentT_result.json,1186648934.5979,1.5257673885224758,1186648932.5979004,1.0,1.0,2.1594899416448636,0.42249748908240875
6,18.0,1.9929686e-07,79780.18,23.429039000000003,38.47836012465351,0.0,26.289755,1186650719.525879,1186650721.525879,0.3203833,305988.0,28.09685,1186650719.5322266,1186650721.5322266,0.3203833,155574.0,36.003372,33.69675,69.70012,30.31880039451001,0.9359332,0.1221779,0.1221779,26.7,138006.0,42.53733825683594,30.967449188232425,1186650721.531805,0.5326173901557922,0.3576680123806,232.3876037597656,0.8622984290122986,4.583099842071533,3.5912420749664307,5.064558029174805,0.0633429586887359,7.0,0.0,1186650719.525879,1186650719.5322266,1186650723.525879,1186650723.5322266,1186650719.5290527,-0.003173828125,0.003173828125,1186650719.5291,6.0,-177221.83000970812,2284.321510284732,1590.9794139098958,-89394.36252629977,-89727.44893243292,333.0864061331522,-89413.84172713227,-89778.70258755992,364.8608604276524,10.473464778333334,3.885150418333333,4.887296328333333,1.0,67.0,50.0,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data6_1186650721-529053_analysis_H1L1_dynesty_studentT_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data6_1186650721-529053_analysis_H1_dynesty_studentT_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data6_1186650721-529053_analysis_L1_dynesty_studentT_result.json,1186650721.529053,1.2534441511663674e-05,1186650719.5290527,1.0,1.0,3.1539762358868138,-11.287030381661415
7,21.0,1.9929686e-07,79780.18,20.158327,27.56571314368413,0.0,15.616546,1186654220.2475586,1186654222.2475586,0.4130729999999999,4008103.0,22.715458,1186654220.244629,1186654222.244629,0.4130729999999999,2024162.0,48.66901,19.60384,68.27285,26.357644098211,0.40279922,0.42603123,0.42603123,26.4,132092.0,30.090599060058597,43.46049118041992,1186654222.2229984,0.8157219290733337,0.1737226992845535,412.8121032714844,1.1995929479599,0.3394451141357422,2.537604093551636,2.906153917312622,-0.5101938247680664,8.0,0.0,1186654220.2475586,1186654220.244629,1186654224.2475586,1186654224.244629,1186654220.2460938,0.00146484375,-0.00146484375,1186654220.2461,7.0,-179001.8957594379,354.424687039922,19.06555070343893,-89547.17782475446,-89694.87112332281,147.69329856835247,-89469.17831520089,-89661.449323155,192.27100795411388,10.251643747777775,4.483516035,4.565309156111111,56.0,26.0,38.0,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data7_1186654222-246094_analysis_H1L1_dynesty_studentT_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data7_1186654222-246094_analysis_H1_dynesty_studentT_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data7_1186654222-246094_analysis_L1_dynesty_studentT_result.json,1186654222.246094,1.2534441511663674e-05,1186654220.2460938,1.0,1.0,3.003617453648519,-11.287030381661415
8,23.0,1.9929686e-07,79780.18,22.547226,37.8714913568068,0.0,23.697966,1186655338.2231443,1186655340.2231443,0.34468815,1212311.0,29.540756,1186655338.2270508,1186655340.2270508,0.34468815,610684.0,45.974983,26.99901,72.97399,30.457063571647872,0.5872544,0.35813573,0.35813573,26.8,134655.0,29.37537956237793,40.83927917480469,1186655340.2382188,0.9183031916618348,0.1099665984511375,264.12899780273443,1.2613600492477417,5.736814022064209,4.543642997741699,5.911975860595702,0.6036049127578735,9.0,0.0,1186655338.2231443,1186655338.2270508,1186655342.2231443,1186655342.2270508,1186655338.2250977,-0.001953125,0.001953125,1186655338.2251,8.0,-177239.13353384766,2564.1724165924825,1830.3448353933345,-89542.78569984934,-89840.69512097946,297.9094211301272,-89522.08749920565,-89962.61082946068,440.5233302550332,11.752026932222222,3.161588044444444,3.7030633577777774,1.0,38.0,11.0,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data8_1186655340-225098_analysis_H1L1_dynesty_studentT_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data8_1186655340-225098_analysis_H1_dynesty_studentT_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data8_1186655340-225098_analysis_L1_dynesty_studentT_result.json,1186655340.225098,1.2534441511663674e-05,1186655338.2250977,1.0,1.0,3.1156120428605933,-11.287030381661415
9,33.0,1.9929686e-07,79780.18,16.472267000000002,22.404649445332367,0.0,11.335754,1186660439.5688474,1186660441.5688474,0.35241923,2720513.0,19.325346,1186660439.5644534,1186660441.5644534,0.35241923,1373271.0,58.741325,23.293974,82.0353,31.543671576685963,0.39655173,0.5341706,0.5341706,26.9,147553.0,46.25513076782226,34.12015151977539,1186660441.5766697,0.8259820938110352,0.3882234990596771,570.6995239257812,1.884554982185364,1.2539089918136597,2.448930025100708,0.5744671225547789,-0.1576929986476898,10.0,0.0,1186660439.5688474,1186660439.5644536,1186660443.5688474,1186660443.5644536,1186660439.5666504,0.0021970272064208,-0.0021967887878417,1186660439.5667,9.0,-179000.32864125757,141.2418483051879,16.63196780817816,-89400.44231560311,-89420.71116602009,20.26885041697824,-89611.91313902746,-89720.85932354267,108.94618451521092,7.991992935000001,1.242434665,3.682117070555556,57.0,53.0,96.0,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data9_1186660441-56665_analysis_H1L1_dynesty_studentT_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data9_1186660441-56665_analysis_H1_dynesty_studentT_result.json,/hdfs/user/avi.vajpeyi/out_O2_BCRs/chunk21/pe_outdir/out_injection/result/bcr_O2_chunk21_injection_data9_1186660441-56665_analysis_L1_dynesty_studentT_result.json,1186660441.56665,1.2534441511663674e-05,1186660439.5666504,1.0,1.0,2.8016781789190337,-11.287030381661415
